date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:24	22025/22025	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2007:48:42%20GMT	https://billionday-sale.xyz/fkk/single-products/128/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/128/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:25	41708/41708	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202023%2006:43:04%20GMT	https://billionday-sale.xyz/fkk/upload/product/4603230908145813.jpeg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/4603230908145813.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:25	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:51%20GMT	https://billionday-sale.xyz/fkk/single-products/125	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/125	(from https://billionday-sale.xyz/fkk/)
17:34:26	21138/21138	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2007:14:10%20GMT	https://billionday-sale.xyz/fkk/single-products/125/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/125/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:26	123570/123570	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202023%2007:15:50%20GMT	https://billionday-sale.xyz/fkk/upload/product/6828230908095309.png	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/6828230908095309.png	(from https://billionday-sale.xyz/fkk/)
17:34:26	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:52%20GMT	https://billionday-sale.xyz/fkk/single-products/124	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/124	(from https://billionday-sale.xyz/fkk/)
17:34:27	20270/20270	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2012:59:40%20GMT	https://billionday-sale.xyz/fkk/single-products/124/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/124/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:27	8363/8363	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2000:46:20%20GMT	https://billionday-sale.xyz/fkk/upload/product/7345230908094637.jpeg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/7345230908094637.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:28	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:53%20GMT	https://billionday-sale.xyz/fkk/single-products/122	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/122	(from https://billionday-sale.xyz/fkk/)
17:34:28	21618/21618	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2007:39:36%20GMT	https://billionday-sale.xyz/fkk/single-products/122/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/122/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:29	146721/146721	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202023%2007:37:26%20GMT	https://billionday-sale.xyz/fkk/upload/product/4599230908093535.png	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/4599230908093535.png	(from https://billionday-sale.xyz/fkk/)
17:34:29	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:55%20GMT	https://billionday-sale.xyz/fkk/single-products/121	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/121	(from https://billionday-sale.xyz/fkk/)
17:34:29	22367/22367	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Oct%202023%2013:31:12%20GMT	https://billionday-sale.xyz/fkk/single-products/121/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/121/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:30	64140/64140	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202023%2010:55:28%20GMT	https://billionday-sale.xyz/fkk/upload/product/8125230908093201.jpeg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/8125230908093201.jpg	(from https://billionday-sale.xyz/fkk/)
